,exercise
0,Reverse Machine Press
1,Bent Over Kettlebell Row
2,Overhead Plate Extensions ^
3,Swiss Ball Roll
4,Smith Machine Row 
5,Seated Barbell Press - Power
6,Push-Ups
7,Wide Grip Seated Cable Row
8,Lunge & Twist (While holding a dumbbell)
9,Machine Curl - 50 rep death set
10,Dumbbell Iso Curl
11,Dumbbell Upright Row
12,Cross-Body Hammer Curl
13,Standing Wrist Curl
14,Kettlebell Swing or Plie Squat
15,Bent Over Row (10% lighter than Workout A)
16,Cable Laterals (behind the glutes)
17,Dips (2/1/3 Tempo)
18,2 Chair Press Up
19,Kettlebell Clean
20,Band Pull Aparts
21,Lying knee raises
22,Pause Pullups
23,Hang Clean to Push Press
24,V-Bar Tricep Pressdowns
25,Deep Squats (3 Second Pause At Bottom)
26,Incline Dumbbell Lateral Raise
27,Lateral Crawls
28,Front Raises
29,Kick Backs
30,Palov Press - Front Raise
31,Calories From Fat
32,Heavy Deadlift
33,"Machine Dip or Extension - Last set, drop set"
34,Incline Bench Serrano Press
35,Barbell Row
36,Trap Bar or Barbell Rack Pull
37,"12:00
Lunch"
38,Rows 
39,Decline Sit Up
40,Machine Incline Press
41,Barbell 21s
42,Kettlebell French Press
43,Bent Over Row - Week 1 (Any rep range can be used)
44,Smith Machine Split Squat
45,Single Stiff-Leg Deadlift
46,Incline or Flat Bench Dumbbell Press
47,Machine Twisting Crunches*
48,90 Degree Side Barbell Preacher Curl
49,Dumbbell Lunge
50,Lying Dumbbell Extension
51,Dumbbell Curl
52,Leg Press - Warmup 85%
53,Reverse Dumbbell Press
54,70% of 1RM
55,TRX Pikes
56,Serrano Misdirection Curls
57,Single Arm Crossbody Rope Tricep Extensions
58,High Machine Seated Row
59,Elbows Out Dumbbell Extension
60,Squat (heavy pyramid set)
61,B1: Reverse-Grip Chin-Up
62,Calf Press
63,Depth Jump 
64,Cable Kickbacks
65,Squat Thrusts
66,Alternating dumbbell preacher curls
67,Tricep Iso
68,Dumbbell Front Raise
69,Zottoman Hand Curl
70,15%
71,Rope Pressdown
72,Squat / Lunges / Leg Extension Tri-Set
73,Seated One Arm Overhead Dumbbell Extension
74,Dumbbell Cuban Press
75,Bodyweight Walking Lunge
76,Smith Machine Close Grip Bench Press
77,Standing Suspension Roll
78,2 Board Close Grip Bench Press
79,Dumbbell Reverse Fly
80,Dumbbell Stiff Leg Deadlifts or Glute Ham Raise
81,Kettlebell RDL
82,Rope Cable Tricep Extensions
83,Lateral Raise Machine
84,Medium/Wide-Grip Pullup
85,Extended Plank Lateral Arm Raise 
86,Dumbbell Goblet Squat 
87,position for 2mins
88,Underhand Grip Smith Row
89,Hammer Dumbbell Curl
90,Superset - Dumbbell Lunge
91,Reverse Grip Dumbbell Row
92,Superset - Machine Chest Press
93,Sandbag Situps
94,1 Leg Pushups
95,Standing Band Half Crunch
96,Lying Leg Curl 
97,Barbell Clean and Press
98,Low Incline Barbell Press (in Squat Rack)
99,Barbell Thrusters
100,Dumbbell Kickback
101,Alternating Shoulder Press
102,Chest Supported Machine Row
103,Overhead EZ Bar Tricep Extension
104,Ab Wheel
105,Superset - Dumbbell Flyes
106,Shoulder Press and Pulldown
107,Hanging Leg Raise
108,Standing One Leg Dumbbell Calf Raise
109,Leaning Dumbbell Lateral Raise
110,Standing Machine Calf Raise
111,RDL
112,Run
113,Seated Arnold Press - Muscle
114,Static Barbell Hold
115,Barbell Hang Clean
116,Hyperextensions with plate
117,Barbell Curl (45 seconds rest between sets)
118,Narrow Unilateral Lat Pull
119,Tricep Pulldown across Chest with Resistance
120,Seated Shoulder Press (1 1/2 Reps)
121,Cable Push-Downs
122,Standing Cable Chop 
123,Set 12
124,Standing Barbell Push Press (split stance)
125,Single Arm Lateral Machine Raise
126,Pull Ups or Chin Ups
127,Back Extension
128,press 
129,"Squats - 90% for 1st set, 5lbs heavier for 2nd set and 10lbs heavier for the 3rd set (Example 410lbs x 3, 415lbs x 3, 420lbs x 3)"
130,Knee Bends
131,Standing Cable Lift 
132,Barbell Good Mornings
133,Superset: Dumbbell Walking Lunge *** (10 steps each leg) and Leg Press (Rest 75-90 seconds between moves and 90-120 seconds between rounds)
134,Close-Grip Push-Up
135,Under Grip Lat Pull Down
136,Sit Ups
137,Reverse Cable Fly
138,- Ring Lay Outs (on plyo box)
139,Superset - Side Lateral Raise
140,Dumbbell Side Crunch
141,Set 9
142,DB Incline Press
143,Hack Squat Machine
144,Sled Push
145,Half Kneeling Facepull
146,Incline DB Flyes
147,Side Clams
148,Incline Curls
149,Boxing
150,Standing High Pulley Cable Fly
151,Frog Pump
152,Hammer Strength Pull Down
153,Dumbbell Lateral Squat
154,Barbell Rows - Muscle
155,Bench Step Ups
156,"3a, Romanian Deadlift"
157,Abdominal Air Bike (see instructions)
158,40 Yards
159,(Assisted) Push Up
160,Tricep Extensions
161,Calories Burned
162,Close Grip Floor Press
163,Bar
164,Ring Push Ups
165,Lying Dumbbell Tricep Extension
166,Cambered Bar Curl/Lying Tricep Extension
167,Overhead Extension
168,Side Crunch with Leg Lift
169,Spider Curl
170,"Leg Press, Hack Squats or Lunges"
171,Dumbbell Walking Lunge
172,Bent Over Rear Delt Row
173,Walkouts From Knees
174,Dumbbell Punches
175,Single Leg Deadlift
176,Superset - Close Grip Bench Press
177,Superset - EZ Bar Reverse Curls
178,Dumbbell Stiff Leg Deadlifts
179,Walking Lunge (Reps are for each leg)
180,Dumbbell Stiff Leg deadlift
181,Finger Lock Chest Pull
182,Dumbbell Pinwheel Curl
183,Cable Pullthrough
184,Single Leg Lying Curl
185,Hack Squats
186,Single Arm Kettlebell Fly
187,Kettlebell Reverse Lunge
188,Reverse Grip Bent Over Row
189,TRX Push-Up
