,exercise
0,dumbbell cuban press
1,seated dumbbell biceps curl
2,single arm band standing flys
3,lying leg curl
4,jack knives
5,machine shrugs
6,smith machine shrug
7,db shrugs
8,rope hammer curl
9,tricep cable pressdowns
10,calf press 
11,smith machine incline bench press
12,set 12
13,seated leg curl or romanian deadlift
14,dumbbell stiff leg deadlift
15,smith machine press  warmup 80
16,face pull
17,pullups
18,one arm machine row
19,rack pull  above the knee
20,incline bench barbell press
21,lateral jumps
22,heavy cheat curl negatives
23,wide push up
24,giant set feetelevated pushup closegrip pullup flat bench barbell press and bentover barbell row
25,superset front squat with dumbbell stiff leg deadlift
26,leg press   muscle
27,seated leg curl 
28,one arm cable row 313 rep timing
29,bent over two arm dumbbell row
30,standing cable crunch
31,dumbbell curl
32,5a trx pikes
33,12 mile run
34,triset  dumbbell pullover
35,standing curl
36,one arm seated dumbbell extension pump
37,barbell curls 
38,flutterkick
39,bent over reverse fly
40,cable side lateral raise
41,bench squat pause one second when sitting
42,single arm lateral machine raise
43,band goodmornings
44,20 yards
45,cable incline front raise
46,trx suspension push up
47,seated french press
48,reverse grip barbell row
49,lying side crunch
50,shoulder swings
51,45 of 1rm
52,bodyweight glute bridge
53,seated low cable row
54,overhead barbell shoulder shrug
55,weighted chin
56,skullcrushers 45 seconds rest between sets
57,4
58,smith machine bicep curl
59,behind neck lat pulldown
60,kick backs
61,standing calf raise
62,one arm seated dumbbell extension
63,barbell reverse curls
64,dumbbell flys
65,week 8
66,weighted tricep dips
67,1 arm hammer strength low row
68,bent over row 10 lighter than workout a
69,cable face pull
70,cable crunches
71,hill sprints
72,4b kettlebell sumo squats
73,widegrip pullup warm up 2x12 on lat pull downs
74,back extensions
75,hanging knee raise
76,bb anterior loaded bulgarian split squat
77,stiff legged deadlift
78,single leg bulgarian split squat and single leg dumbbell calf raise
79,"combo 2
jabcrossleft hookright leg roundhouse"
80,flat bench dumbbell or barbell press
81,bench press  drop 5 cycle
82,close grip chin up
83,seated curl
84,barbell or dumbbell deadlift
85,goblet squats
86,bottom position seated military press  week 2
87,rope crunch
88,bent rows
89,neutral grip pullups
90,side lying dumbbell reverse fly 
91,cross body curl
92,dumbbell punches
93,single leg bodyweight glute bridge
94,skullcrusher and press combination  warmup 80
95,dumbbell side bend
96,alternating hammer grip front dumbbell raise
97,incline chest machine press 
98,standing glute kickback
99,elevated leg extension
100,bear crawls
101,single arm dumbbell push press
102,romanian deadlift or leg curl   muscle
103,incline bench press followed by pushups
104,dumbbell chest press 
105,muffin tops
106,conventional deadlift
107,barbell close grip upright row
108,ez bar preacher curl
109,ez bar bicep 21s
110,barbell rollouts
111,or back squats 
112,vertical leg press
113,rope cable triceps press
114,plank
115,rear delt fly
116,flat bench press
117,deep squats w a 3second pause at the bottom
118,power shrug
119,half waiter walks 
